X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.237902736663818359e+01;1.746877098083496094e+01;-9.111404418945312500e-03;2.141024017333984375e+01;2.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859694566715904e+18
-1.229131793975830078e+01;1.775901794433593750e+01;-1.100921630859375000e-02;2.159766960144042969e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859694566734592e+18
-1.234837532043457031e+01;1.825489234924316406e+01;-1.121139526367187500e-02;2.203913688659667969e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859694566752256e+18
-1.250784397125244141e+01;1.896111869812011719e+01;-1.248931884765625000e-02;2.271498107910156250e+01;1.800000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859694566769664e+18
-1.245866584777832031e+01;1.933345031738281250e+01;-1.261806488037109375e-02;2.300001716613769531e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859694566785792e+18
-1.205891990661621094e+01;1.919427490234375000e+01;-1.335811614990234375e-02;2.266799354553222656e+01;7.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859694566801664e+18
-1.184387969970703125e+01;1.980260467529296875e+01;-1.449298858642578125e-02;2.307424736022949219e+01;1.300000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859694566830848e+18
-5.355545043945312500e+00;9.185627937316894531e+00;-6.659507751464843750e-03;1.063285827636718750e+01;1.700000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859694566845440e+18
-5.308708190917968750e+00;9.334277153015136719e+00;-7.153511047363281250e-03;1.073830318450927734e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.600000000000000000e+01;1.602859694566858240e+18
-5.201057434082031250e+00;9.385774612426757812e+00;-7.125854492187500000e-03;1.073050880432128906e+01;2.000000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859694566872064e+18
